timestamp,open,high,low,close,volume,imp_vol,ttm,r,k
2024-03-05,3.85,4.5,3.55,4.35,811,0.18183722375059388,0.10403832991101986,0.0365,170.0
2024-03-06,4.4,4.8,4.0,4.73,303,0.17646699624044007,0.10130047912388775,0.0365,170.0
2024-03-07,4.45,4.92,3.95,4.7,178,0.17370357583362728,0.09856262833675565,0.0365,170.0
2024-03-08,4.69,4.69,2.71,3.68,875,0.17081255006683108,0.09582477754962354,0.0365,170.0
2024-03-11,2.95,3.2,2.6,2.82,607,0.18008244597080014,0.08761122518822724,0.0365,170.0
2024-03-12,2.57,3.3,2.16,2.34,556,0.16759811527637747,0.08487337440109514,0.0365,170.0
2024-03-13,2.55,3.3,2.5,2.84,416,0.14897449660937356,0.08213552361396304,0.0365,170.0
2024-03-14,2.34,2.61,1.95,2.44,557,0.17309533546099456,0.07939767282683094,0.0365,170.0
2024-03-15,2.7,3.42,2.61,2.62,447,0.17719737696835858,0.07665982203969883,0.0365,170.0
2024-03-18,1.66,2.09,1.08,2.07,1125,0.17915747421187037,0.06844626967830253,0.0365,170.0
2024-03-19,1.81,2.18,1.17,1.26,766,0.17713346531866034,0.06570841889117043,0.0365,170.0
2024-03-20,1.31,1.47,0.68,0.68,837,0.17684980286210572,0.06297056810403832,0.0365,170.0
2024-03-21,0.93,3.2,0.82,2.89,2396,0.17981270092334015,0.06023271731690623,0.0365,170.0
2024-03-22,2.81,3.5,1.97,2.21,1398,0.16691038089163382,0.057494866529774126,0.0365,170.0
2024-03-25,2.89,3.4,2.08,2.5,963,0.15336981979770423,0.049281314168377825,0.0365,170.0
2024-03-26,2.86,3.05,2.17,2.81,2105,0.1340386157330831,0.04654346338124572,0.0365,170.0
2024-03-27,2.53,2.68,1.25,1.36,1655,0.15608974617623064,0.04380561259411362,0.0365,170.0
2024-03-28,1.81,2.28,1.51,1.85,2290,0.14148110620803628,0.04106776180698152,0.0365,170.0
2024-04-01,1.86,2.63,1.83,2.3,2049,0.13267255023072794,0.030116358658453114,0.0365,170.0
2024-04-02,2.8,3.3,2.6,2.7,6069,0.08672683685347715,0.02737850787132101,0.0365,170.0
2024-04-03,2.8,2.92,1.75,2.2,5228,0.10707668493884542,0.024640657084188913,0.0365,170.0
2024-04-04,1.84,2.8,1.12,2.77,17316,0.10111637727982625,0.02190280629705681,0.0365,170.0
2024-04-05,2.39,2.62,1.65,2.03,10799,0.08617852580131893,0.019164955509924708,0.0365,170.0
2024-04-08,2.2,2.73,2.04,2.35,14016,2.0,0.010951403148528405,0.0365,170.0
2024-04-09,2.15,2.36,1.4,1.52,14471,2.0,0.008213552361396304,0.0365,170.0
2024-04-10,1.96,3.15,1.82,2.5,15313,2.0,0.0054757015742642025,0.0365,170.0
2024-04-11,2.12,2.7,0.03,0.05,88140,0.24142656159396225,0.0027378507871321013,0.0365,170.0
2024-04-12,0.05,0.09,0.01,0.01,24939,2.0,1e-09,0.0365,170.0
